Offscreen	Viktor Bodó	2006
Kautokeino-opprøret	Nils Gaup	2008
Lille Virgil og Orla Frøsnapper	Gert Fredholm	1980
Sorte kugler	Anders Matthesen	2009
Frøken Nitouche	Annelise Reenberg	1963
Midt om natten	Erik Balling	1984
Kundskabens træ	Nils Malmros	1981
Skønheden og udyret	Nils Malmros	1983
Han, Hun, Dirch og Dario	Annelise Reenberg	1962
Wolfgang	Anders Thomas Jensen	1997
Passer passer piger	Sven Methling	1965
Rembrandt	Jannik Johansen	2003
Kærlighed på film	Ole Bornedal	2007
De frigjorte	Christina Clausen	1993
Kinamand	Henrik Ruben Genz	2005
Far til fire i sneen	Alice O'Fredericks	1954
Klovn: The Movie	Mikkel Nørgaard	2010
Irene Huss - Tatuerad torso	Martin Asphaug	2007
Se min kjole	Hella Joof	2009
Phenomena	Dario Argento	1985
Wir Wunderkinder	Jesco Hoffmann	1958
Slip hestene løs	Christina Clausen	2000
Skyggen af Emma	Hans Kragh-Jacobsen	1988
Klatretøsen	Hans Fabian Wullenweber	2002
Kvinnen i mitt liv	Alexander Eik	2003
Kat	Marlon Schmidt	2001
Bag det stille ydre	Marlon Schmidt	2005
Tæl til 100	Kaj Holmberg	2004
La nuit du carrefour	Jean Renoir	1932
Du skal ære din hustru	Carl Theodor Dreyer	1925
Min søsters børn vælter byen	Annelise Reenberg	1968
Inkasso	Lasse Spang Olsen	2004
Mig og mafiaen	Renatus Zürcher	1973
Johnny Larsen	Morten Arnfred	1979
Den store dag	Morten Arnfred	2005
Soldaterkammerater på efterårsmanøvre	Sven Methling	1961
Ambulancen	Laurits Munch-Petersen	2005
Over gaden under vandet	Charlotte Sieling	2009
Ordet	Carl Theodor Dreyer	1955
Drømmen	Niels Arden Oplev	2006
To verdener	Niels Arden Oplev	2008
Guldhornene	Marlon Schmidt	2007
Bennys badekar	Jannik Hastrup	1971
Portland	Niels Arden Oplev	1996
De grønne slagtere	Anders Thomas Jensen	2003
Flyvende farmor	Michael Wikke	2001
Olsen-banden i Jylland	Erik Balling	1971
Hurra for de blå husarer	Annelise Reenberg	1970
Den som dræber - Fortidens skygge	Birger Larsen	2011
Møv og Funder	Niels Gråbøl	1993
Hjælp, jeg er en fisk	Michael Hegner	2000
Min søsters børn	Tomas Villum Jensen	2001
Nynne	Jonas Elmer	2005
Gå med fred Jamil - Ma salama Jamil	Omar Shargawi	2008
De nåede færgen	Carl Theodor Dreyer	1948
Prop og Berta	Per Fly	2000
Elsker dig for evigt	Susanne Bier	2002
Jungledyret	Flemming Quist Møller	1993
Olsen-banden overgiver sig aldrig	Erik Balling	1979
Drengen der gik baglæns	Thomas Vinterberg	1995
Alt på et bræt	Gabriel Axel	1977
Kopisten	Christian Tafdrup	1999
Bussen	Finn Henriksen	1963
Brødre	Susanne Bier	2004
Cecilie	Hans Fabian Wullenweber	2007
Hibernatus	Edouard Molinaro	1969
Min søsters børn, når de er værst	Annelise Reenberg	1971
Walter og Carlo - op på fars hat	Marius Holst	1985
Min søsters børn	Annelise Reenberg	1966
En enkelt til Korsør	Gert Fredholm	2008
Tro, håb og kærlighed	Bille August	1984
Olsen-banden deruda'	Erik Balling	1977
Kærlighedens smerte	Nils Malmros	1992
Jolly Roger	Lasse Spang Olsen	2001
Samson og Sally	Jannik Hastrup	1984
Operation Cobra	Lasse Spang Olsen	1995
Gertrud	Carl Theodor Dreyer	1964
Fyra nyanser av brunt	Tomas Alfredson	2004
Den du frygter	Kristian Levring	2008
Når mor kommer hjem	Lone Scherfig	1998
Hannibal & Jerry	Michael Wikke	1997
Dyrlægens plejebørn	Carl Ottosen	1968
Kærestesorger	Nils Malmros	2009
Pigen og pressefotografen	Sven Methling	1963
H.C. Andersen og den skæve skygge	Jannik Hastrup	1998
Øyenstikker	Marius Holst	2001
Michael Laudrup - en fodboldspiller	Betina Leth	1993
Piger i trøjen 2	Finn Henriksen	1976
Nordkraft	Ole Christian Madsen	2005
Vredens dag	Carl Theodor Dreyer	1943
Olsen-banden går amok	Erik Balling	1973
Baronessen fra benzintanken	Annelise Reenberg	1960
The Secret Life of Words	Isabel Coixet	2005
Store planer	Jason Nielsen	2005
Ekko	Anders Morgenthaler	2007
\\"Torpedo\\"	Trygve Allister	2007
Elvis Hansen, en samfundshjælper	Jan Hertz	1988
Jydekompagniet	Finn Henriksen	1988
Jungledyret 2 - den store filmhelt	Flemming Quist Møller	1996
Drenge	Nils Malmros	1977
Fidibus	Hella Joof	2006
Små ulykker	Edward Oleschak	2002
Olsen-bandens flugt over plankeværket	Erik Balling	1981
Majorens oppasser	Sven Methling	1964
Mellem os	Laurits Munch-Petersen	2003
Hvid nat	Jannik Johansen	2007
Solkongen	Tomas Villum Jensen	2005
Guldregn	Hans Kragh-Jacobsen	1988
Zappa	Bille August	1983
Pigen og millionæren	Ebbe Langberg	1965
Miraklet i Valby	Basil Sandford	1989
Familien Gyldenkål sprænger banken	Gabriel Axel	1976
Prince of Jutland	Gabriel Axel	1994
Monas verden	Jonas Elmer	2001
Julefrokosten	Finn Henriksen	1976
Den eneste ene	Susanne Bier	1999
Frygtelig lykkelig	Henrik Ruben Genz	2008
Over kanten	Laurits Munch-Petersen	2012
Flådens friske fyre	Finn Henriksen	1965
Befrielsesbilleder	Lars von Trier	1982
Den forsvundne fuldmægtig	Gert Fredholm	1971
