Danish	1956	Far til fire i byen
Danish	1998	Når mor kommer hjem
Danish	1999	Magnetisörens femte vinter
Danish	1960	Baronessen fra benzintanken
Danish	1964	Sommer i Tyrol
Danish	1989	Dansen med Regitze
Danish	1993	Michael Laudrup - en fodboldspiller
Danish	1982	Tre engle og fem løver
Danish	1994	Krummerne 3 - fars gode idé
Danish	2002	Små ulykker
Danish	2001	En kort en lang
Danish	2012	Over kanten
Danish	2006	Tempelriddernes skat
Danish	2007	Ekko
Danish	2000	Hjælp, jeg er en fisk
Danish	1963	Frøken Nitouche
Danish	2005	Dommeren
Danish	1995	Sidste time
Danish	1995	Operation Cobra
Danish	1971	Olsen-banden i Jylland
Danish	2002	Elsker dig for evigt
Danish	1981	Gummi-Tarzan
Danish	1963	Pigen og pressefotografen
Danish	2006	Fidibus
Danish	1997	Wolfgang
Danish	1960	Soldaterkammerater på vagt
Danish	1984	Tro, håb og kærlighed
Danish	1996	Davids bog
Danish	1978	Mig og Charly
Danish	1983	Zappa
Danish	1995	Kun en pige
Danish	2011	Dreng
Danish	1970	Præriens skrappe drenge
Danish	1920	Prästänkan
Danish	1954	Far til fire i sneen
Danish	1948	De nåede færgen
Danish	1959	Soldaterkammerater rykker ud
Danish	1999	Pizza King
Danish	2003	Manden bag døren
Danish	1990	Springflod
Danish	2010	Submarino
Danish	2007	\\"Torpedo\\"
Danish	1988	Jydekompagniet
Danish	1988	Elvis Hansen, en samfundshjælper
Danish	1979	Olsen-banden overgiver sig aldrig
Danish	1993	Jungledyret
Danish	1996	Portland
Danish	2000	Bænken
Danish	1968	Min søsters børn vælter byen
Danish	1976	Strømer
Danish	2006	Helmer & søn
Danish	1971	Ballade på Christianshavn
Danish	1998	Idioterne
Danish	1994	Prince of Jutland
Danish	1973	Mig og mafiaen
Danish	2004	Kongekabale
Danish	2007	Kollegiet
Danish	2007	Into the Wild
Danish	1989	Tarzan Mama Mia
Danish	1980	Lille Virgil og Orla Frøsnapper
Danish	1961	Soldaterkammerater på efterårsmanøvre
Danish	2006	Sprængfarlig bombe
Danish	1966	Slap af, Frede!
Danish	2000	High Fidelity
Danish	2005	Den store dag
Danish	1965	Pigen og millionæren
Danish	2009	Sorte kugler
Danish	1999	Valgaften
Danish	1955	Far til fire på landet
Danish	1971	Bennys badekar
Danish	2003	Mellem os
Danish	1997	Let's Get Lost
Danish	1995	Farligt venskab
Danish	1974	Olsen-bandens sidste bedrifter
Danish	1989	Miraklet i Valby
Danish	1988	Skyggen af Emma
Danish	1988	Medea
Danish	1983	Otto er et næsehorn
Danish	2005	Adams æbler
Danish	2009	Se min kjole
